	SMPC 2019, New York City - Preliminary Program				
	Tue Aug 6 - Day 2				
	TRACK 1 (Room 802)	TRACK 2 (Room 905/907)	TRACK 3 (Room 909)	TRACK 4 (Room 914)	
9:00 AM	Coffee on your own				
9:30-10:15 AM	G1 - Beat & Meter 3: Time	G2 - Harmony 2	G3 - Neuroscience 1	G4 - Effects of Music Training	
10:15-11:00 AM	H1 - Beat & Meter 4: Processing	H2 - Learning	H3 - Neuroscience 2	H4 - Absolutes	
11:00-11:30 AM	Coffee and snacks (available 10am-12pm in 903)				
11:30-12:15 PM	I1 - Memory	I2 - Melody 1: Topography	I3 - Embodiment	I4 - Symposium: Open Science	
12:15-1:00 PM	J1 - Music Training 2: Language	J2 - Methodology	J3 - Music Therapy	J4 - Symposium: Open Science, cont'd	
1:00-2:30 PM	Lunch on your own / Early Career Researcher panel discussion 1:30-2:15 (room 914)				
2:30-3:00 PM	K1 - Social Interventions	K2 - Form 1	K3 - Medical Interventions	K4 - Melody 2	
3:00-3:30 PM	L1 - Mental Representations	L2 - Form 2: Closure	L3 - Music in the Hands	L4 - Beat & Meter 5: Non-Human Perspectives	
3:30-4:45 PM	Poster session 1 (Coffee/snacks available 3-5pm) 				
4:45-6:00 PM	Poster session 2				
					
7:00-10:30 PM	Dinner cruise around Manhattan				
					
Tuesday, Aug. 6 (Day 2) Poster Presentations					
Poster Session 1a (presenters at posters from 3:30-4:45)			Poster Session 1b (presenters at posters from 4:45-6:00)		
submission #	Title	Author(s)	Session	time	Location
16	Implicit learning of tetrachords in an atonal context	Jenine L Brown (Peabody Conservatory of Music - Johns Hopkins University)*; Nathan Cornelius (Peabody Conservatory of Music - Johns Hopkins University)	P1	3:30-4:45 PM	Rosenthal
30	Introducing the Melody Annotated String Quartet (MASQ) dataset	Sarah A Sauvé (Memorial University of Newfoundland)*	P1	3:30-4:45 PM	Rosenthal
36	Validation of a Paired-Comparison Speech-In-Noise Test Against the HINT Test: Effects of Musical Training and Musical Aptitude on Auditory Filtering Abilities	Betsy Marvin (Eastman School of Music)*; Hannah Dick (Eastman School of Music); Charles Babb (University of Rochester); Anne Luebke (University of Rochester)	P1	3:30-4:45 PM	Rosenthal
55	Why We Can't Understand the Lyrics: (a multimodal analysis of the perception of sung language)	David Wolfson (Hunter College)*	P1	3:30-4:45 PM	Rosenthal
56	The Effect of Temperament System on Makam Recognition Performance: A Cross-Cultural Comparison	Firat Altun (The University of York)*; Hauke Egermann (University of York)	P1	3:30-4:45 PM	Rosenthal
62	A Multi-Modal Investigation of Woodwind Articulation Performance	Laura Stambaugh (Georgia Southern)*; Carolyn Bryan (Georgia Southern University)	P1	3:30-4:45 PM	Rosenthal
68	Auditory categorical learning is shaped by inherent musical listening skills	Kelsey Mankel (University of Memphis)*; Gavin Bidelman (University of Memphis)	P1	3:30-4:45 PM	Rosenthal
71	College musician’s psychophysiological responses to music performance anxiety assessed as an ensemble	Kate L Schwarz (Georgia State University)*, Martin Norgaard (Georgia State University)	P1	3:30-4:45 PM	Rosenthal
82	The Famous Melodies Stimulus Set: Development and normative data	Amy Belfi (Missouri University of Science and Technology)*; Kaelyn Kacirek (Missouri University of Science and Technology)	P1	3:30-4:45 PM	Rosenthal
88	The relationship between small music ensemble and empathy: A cross-sectional study	Jeoung Yeoun Han (Pai Chai University); Eun Cho (University of California, Riverside)*	P1	3:30-4:45 PM	Rosenthal
97	Infants processing of ambiguous rhythm patterns: Can they maintain metrical interpretations not given directly in the stimulus?	Erica Flaten (Mcmaster University)*; Laurel Trainor (McMaster University)	P1	3:30-4:45 PM	Rosenthal
103	Revisiting timbral brightness perception	Charalampos Saitis (Institute of Musicology, University of Vienna)*; Kai Siedenburg (Department of Medical Physics and Acoustics, Carl von Ossietzky University of Oldenburg); Christoph Reuter (Institute of Musicology, University of Vienna)	P1	3:30-4:45 PM	Rosenthal
109	Item Difficulty and Performance Accuracy on Interval Identification and Melodic Dictation Tasks	Bryan Nichols (Penn State University)*; D. Gregory Springer (Florida State University)	P1	3:30-4:45 PM	Rosenthal
